step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4263	4246	4246	3924	3924	3924	3924	3924	3915	3874	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3850	3792	3792	3792
4931	4804	4804	4781	4781	4781	4781	4781	4781	4781	4781	4781	4781	4775	4775	4775	4775	4775	4775	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4615	4487	4487	4487	4380	4380	4357	4357	4357	4357	4357	4308	4308	4308	4308	4308	4094	4094	4094	4037	4037
4652	4652	4624	4624	4585	4585	4585	4585	4585	4585	4585	4585	4585	4585	4583	4583	4583	4471	4257	4257	4240	4240	4172	4146	4096	3956	3956	3956	3956	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952	3952
4582	4526	4526	4526	4526	4526	4526	4526	4526	4526	4526	4526	4526	4526	4526	4526	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4489	4393
4439	4439	4335	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4303	4248	4206	4206	4206	4128	4128	4128	4031	4031	4031	4031	4031
