step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
272	272	272	272	270	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	216	216	216	216	216	216	174	174	172	172	172	172	129	129	124	124	124	124	124	124	124	124	124	124	124	124	121	121	121	121
185	185	185	185	185	185	185	185	185	185	185	185	185	185	169	167	167	127	121	121	121	121	121	121	113	113	113	113	113	113	113	113	113	113	113	109	75	75	75	75	75	75	75	75	75	72	72	72	72	72	72
258	258	258	258	235	235	235	235	190	174	172	172	172	172	151	148	148	148	148	148	148	148	148	148	148	148	140	140	140	124	124	124	124	124	124	124	124	124	124	119	119	72	72	72	72	72	53	53	53	53	51
302	302	302	302	302	302	302	276	276	274	214	214	200	200	200	176	125	104	104	104	104	104	104	83	83	83	83	83	83	83	83	83	83	83	83	83	76	76	76	76	76	76	76	60	60	60	60	60	60	60	60
147	147	147	147	147	147	147	147	147	119	119	119	119	119	119	114	114	114	114	94	94	94	94	94	89	80	80	80	80	80	80	70	70	70	68	68	68	68	68	68	68	68	68	52	52	49	49	49	46	46	46
