step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4962	4654	4654	4654	4654	4654	4615	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510	4510
5044	5044	5044	5044	4789	4692	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654	4654
4910	4739	4650	4650	4650	4650	4650	4650	4650	4586	4586	4586	4586	4586	4586	4586	4586	4586	4571	4571	4571	4543	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502	4502
4979	4832	4832	4832	4832	4832	4832	4665	4616	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591	4591
5058	4896	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4669	4551	4551	4551	4551	4551	4551	4551	4551	4551	4551	4551	4551	4551	4551	4551	4551
