step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4783	4783	4783	4482	4482	4482	4482	4482	4368	4368	4307	4149	4128	4111	4111	4111	4111	4111	4111	4111	4111	4111	4111	4111	4111	4111	4111	4111	4094	4094	4094	4094	4092	4092	4092	4092	4092	4092	4092	4092	3879	3831	3817	3817	3817	3817	3817	3817	3817	3817	3817
4392	4371	4337	4337	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4164	4164	4164	4164	4164	4059	4059	4059	4059	4059	4059	4059	4059	4059	4059	4059	4059	4059	3907	3907	3907	3804	3804	3804	3804	3804	3787	3712	3710
5694	5694	5610	5489	5489	5489	5489	5489	5416	5416	5319	5160	5160	5160	5160	4981	4894	4894	4843	4843	4843	4843	4843	4843	4843	4843	4843	4843	4580	4580	4580	4530	4496	4496	4496	4496	4496	4490	4450	4450	4450	4447	4447	4447	4419	4419	4354	4354	4088	4088	4082
4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4647	4609	4475	4475	4475	4396	4396	4316	4316	4316	4316	4316	4316	4307	4307	4307	4237	4237	4237	4237
4347	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4312	4210	4210	4210	4154	4154	4154	3865	3865	3865	3865	3865	3865	3685	3663	3663	3663	3527	3527	3527	3482	3404	3404	3404	3404	3404	3404	3404
