step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4558	4119	3747	3328	3120	2886	2685	2519	2397	2276	2176	2099	2030	1924	1869	1824	1793	1764	1729	1705	1698	1696	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661
4778	4342	3942	3633	3279	2962	2760	2608	2458	2347	2253	2162	2061	1981	1835	1776	1738	1703	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681	1681
4830	4393	3963	3635	3328	3051	2829	2656	2499	2339	2235	2146	2024	1951	1878	1795	1734	1699	1678	1642	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635
5290	4853	4406	4026	3706	3447	3183	2943	2771	2619	2466	2291	2160	2076	1971	1873	1782	1746	1710	1679	1672	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665	1665
4894	4507	4137	3777	3497	3258	3014	2798	2593	2460	2339	2236	2135	2036	1976	1941	1913	1888	1832	1813	1776	1751	1736	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729	1729
