step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	249	199	199	168	168	168	168	168	168	168	168	168	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162
270	270	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	148
122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122
173	173	173	173	173	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159
257	241	241	207	162	162	162	162	162	162	162	162	162	162	162	155	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	141	141	141	141	141	141	141	141	141	141	129	124	108	108	108	108	108	108	108	108
