step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4440	4089	3748	3446	3128	2907	2742	2570	2441	2325	2233	2133	2059	1988	1925	1862	1803	1739	1682	1668	1668	1668	1634	1627	1627	1627	1627	1627	1627	1624	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622
4519	4141	3794	3468	3229	2986	2804	2632	2470	2325	2185	2100	2026	1900	1829	1772	1724	1698	1680	1667	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1652	1648	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646
4802	4352	3943	3632	3386	3131	2891	2689	2504	2382	2225	2150	2075	2006	1941	1877	1817	1769	1734	1719	1712	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1676	1651	1650	1643	1643	1643	1643	1643	1643	1643	1643
4323	3853	3468	3175	2916	2730	2611	2496	2379	2280	2174	2090	1959	1900	1849	1809	1765	1728	1695	1694	1694	1694	1694	1680	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679	1679
4803	4401	4092	3793	3504	3214	2979	2774	2633	2505	2386	2267	2150	2040	1937	1895	1855	1820	1785	1771	1758	1690	1679	1670	1653	1627	1627	1627	1627	1627	1627	1624	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622
