step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4743	4743	4696	4604	4604	4604	4604	4604	4497	4497	4497	4497	4497	4497	4497	4497	4333	4333	4305	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4133	4097	3936	3936	3936	3778
4500	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4406	4385	4385	4385	4385	4385	4385	4145	4016	4016	3992	3970	3970	3883	3883	3671	3646	3646	3646	3646	3646	3646	3609	3609	3411
4709	4677	4677	4632	4632	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4515	4512	4416	4416	4282	4282	4282	4282	4282	4282	4282	4282	4282	4282	4282	4282	4258
4771	4771	4771	4686	4686	4686	4686	4686	4686	4686	4686	4571	4571	4571	4519	4519	4519	4519	4519	4519	4519	4519	4519	4519	4519	4519	4519	4518	4518	4518	4518	4518	4518	4398	4398	4362	4362	4305	4305	4305	4266	4266	4266	4266	4266	4135	4135	4031	4021	4021	4021
4385	4358	4327	4327	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920	3920
