step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
5359	4855	4387	3996	3609	3260	2995	2764	2575	2395	2278	2173	2003	1931	1866	1821	1783	1749	1719	1704	1697	1691	1641	1628	1628	1628	1628	1628	1628	1628	1628	1627	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620	1620
4144	3865	3597	3380	3076	2876	2678	2560	2436	2323	2225	2136	2061	1983	1908	1849	1812	1752	1721	1700	1687	1687	1687	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1677	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670
3894	3481	3177	2917	2753	2606	2474	2345	2229	2118	2049	1980	1917	1859	1806	1765	1728	1711	1685	1685	1685	1670	1670	1670	1670	1670	1670	1670	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1651	1637	1630	1630	1630
5294	4799	4370	3979	3625	3366	3141	2959	2795	2661	2535	2411	2304	2199	2114	2041	1991	1917	1879	1845	1781	1755	1676	1659	1638	1624	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622
4549	4136	3780	3476	3193	2886	2613	2518	2435	2317	2216	2137	2039	1970	1917	1874	1832	1791	1756	1729	1712	1686	1670	1670	1670	1670	1670	1670	1667	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1654	1651	1637	1630	1630	1630
