step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4900	4373	3968	3651	3389	3120	2900	2691	2540	2401	2274	2168	2068	1995	1923	1871	1820	1779	1743	1708	1690	1677	1673	1670	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658	1658
4490	4136	3777	3481	3235	2899	2677	2498	2336	2255	2194	2134	2006	1949	1893	1851	1773	1736	1708	1695	1694	1687	1687	1687	1687	1687	1671	1671	1671	1671	1671	1671	1671	1671	1671	1671	1671	1671	1671	1651	1644	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643
5185	4700	4281	4013	3758	3463	3211	2986	2738	2570	2405	2268	2177	2095	2018	1962	1919	1879	1843	1810	1750	1718	1690	1687	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673	1673
4999	4488	4172	3869	3576	3311	3043	2800	2608	2444	2298	2157	2050	1967	1903	1854	1784	1725	1687	1687	1687	1687	1687	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1667	1655	1648	1648	1648
4994	4544	4162	3862	3574	3319	3067	2882	2645	2524	2405	2287	2186	2091	2003	1922	1849	1790	1739	1701	1665	1646	1631	1617	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610	1610
