step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4959	4695	4695	4695	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516	4516
4819	4817	4810	4775	4464	4464	4464	4464	4464	4464	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357	4357
4978	4779	4779	4779	4608	4608	4608	4608	4608	4608	4608	4608	4608	4608	4608	4608	4595	4594	4594	4594	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4499	4463	4463	4463	4463	4463	4463	4463	4463	4463	4463	4463	4463	4453
5083	4967	4967	4788	4788	4788	4788	4445	4306	4249	4189	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034	4034
4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4715	4499	4499	4499	4499	4499	4499	4344	4334	4334	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4163	4087	4047	4047	4047
