step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4651	4327	3956	3644	3364	3091	2830	2608	2423	2294	2197	2112	2028	1926	1858	1796	1752	1718	1700	1693	1692	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643	1643
4497	4113	3745	3446	3181	2990	2776	2590	2460	2323	2220	2106	1947	1877	1824	1773	1724	1696	1684	1659	1652	1648	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646	1646
4596	4153	3818	3423	3123	2896	2759	2594	2454	2361	2271	2180	2094	2026	1961	1901	1863	1828	1797	1770	1747	1725	1708	1682	1675	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1636	1622	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615
4989	4579	4177	3774	3446	3178	2988	2801	2564	2405	2316	2239	2163	2104	2057	1995	1931	1893	1859	1805	1771	1757	1746	1699	1695	1695	1695	1695	1695	1695	1695	1667	1667	1667	1633	1626	1626	1626	1626	1626	1626	1626	1626	1626	1626	1626	1626	1626	1626	1626	1626
4386	3998	3692	3400	3110	2915	2775	2574	2435	2325	2228	2145	2070	2001	1941	1884	1829	1779	1748	1714	1702	1693	1685	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649	1649
