step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
5051	4539	4173	3831	3548	3272	3033	2823	2604	2472	2327	2204	2106	2039	1952	1901	1845	1799	1773	1747	1714	1636	1622	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615
4064	3705	3349	3160	2990	2833	2680	2536	2446	2357	2272	2193	2125	2037	1960	1878	1804	1732	1674	1649	1631	1624	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622	1622
4581	4124	3754	3520	3287	3079	2879	2700	2531	2375	2246	2151	2073	2035	1999	1948	1859	1825	1789	1775	1764	1732	1687	1680	1677	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663	1663
4754	4318	3943	3584	3284	3067	2818	2677	2534	2427	2329	2238	2163	2064	1991	1899	1849	1804	1761	1692	1685	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684
5217	4741	4362	3995	3625	3283	3073	2848	2633	2503	2374	2261	2179	2101	2028	1969	1870	1817	1779	1717	1716	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709	1709
