step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
285	285	285	285	285	285	272	272	234	234	234	234	225	225	225	206	206	201	201	201	201	201	154	148	148	148	140	140	140	140	140	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
154	154	154	131	131	131	131	131	101	101	101	101	101	101	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	84	84	84	82	65	65	65	65	65	65
215	167	167	167	162	162	162	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	72	72	72	72	72	72	72	72	59	59	59	58	58	58	58	58	58	58	58	58	56	56	56	56	56	56	56
310	310	310	310	310	310	310	310	310	310	275	275	275	275	275	275	275	275	275	239	239	197	186	186	186	186	186	186	186	186	186	186	153	153	151	151	151	151	151	140	140	140	140	140	140	140	135	112	90	90	89
259	259	259	255	255	238	238	205	205	205	205	154	154	140	140	140	140	140	140	140	140	138	138	138	138	138	138	138	138	138	102	102	102	102	102	102	102	102	85	83	83	83	83	83	83	83	83	83	83	83	78
