step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4499	4066	3584	3283	3007	2734	2523	2354	2220	2134	2060	1990	1930	1895	1862	1837	1790	1774	1764	1721	1717	1714	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1671	1664	1660	1657	1643	1643	1643	1643	1643	1643	1643	1643	1643
4683	4222	3832	3585	3364	3173	2978	2826	2651	2527	2394	2293	2193	2100	2025	1973	1922	1872	1829	1792	1732	1698	1665	1650	1638	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631
4767	4377	4004	3639	3325	3037	2881	2730	2586	2467	2342	2252	2169	2094	2036	1987	1946	1910	1879	1856	1837	1798	1752	1734	1716	1709	1707	1638	1638	1638	1638	1638	1637	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630
4661	4210	3853	3558	3327	3133	2960	2813	2669	2537	2420	2322	2228	2148	2059	1991	1925	1859	1821	1784	1761	1730	1709	1684	1684	1684	1669	1669	1669	1669	1669	1664	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651
4564	4252	3983	3724	3480	3216	2990	2819	2669	2525	2390	2257	2163	2073	1991	1953	1917	1830	1794	1765	1730	1705	1690	1683	1683	1683	1649	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642
