step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
326	326	326	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	233	233	233	205	205	205	205	205	205	205	205	205	203	203	203	203	203	203	203	203	203	203	203	203	203	198	167
329	329	329	329	329	329	318	318	318	318	202	193	177	177	174	174	174	172	158	158	158	158	158	158	158	158	158	158	158	158	158	154	154	118	118	118	118	118	102	102	102	102	102	102	102	93	82	82	82	82	82
153	153	153	130	130	130	128	119	83	83	83	83	80	80	80	80	80	80	80	79	79	79	79	66	61	61	61	61	61	61	61	61	61	61	61	61	59	58	58	58	58	58	58	58	58	58	58	58	58	58	58
205	205	205	202	157	157	123	123	123	100	100	98	98	98	98	98	98	98	98	98	98	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	80	80	80	80	80	80	80	80	80	80	80
315	308	308	308	308	308	308	305	287	271	271	269	269	269	250	250	250	250	250	230	230	185	176	176	174	174	136	136	136	136	136	136	136	136	136	136	136	134	133	133	133	133	133	133	133	122	122	122	122	120	120
