step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4831	4652	4652	4568	4568	4568	4568	4568	4444	4444	4444	4444	4444	4444	4354	4215	4215	4154	4154	3861	3861	3861	3641	3582	3489	3489	3489	3489	3445	3445	3445	3445
4738	4738	4655	4655	4587	4440	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4192	4142	4104	4104	4069	4069	4069	4069	4069	4069	4069	4069	3962	3962	3893	3727
4705	4705	4687	4687	4687	4687	4687	4687	4607	4607	4607	4607	4607	4607	4607	4607	4607	4607	4607	4607	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4559	4434	4434	4345	4345	4345	4345	4285
5146	5146	5128	5128	5123	5054	4989	4979	4979	4979	4972	4948	4931	4870	4870	4630	4630	4630	4380	4380	4380	4380	4294	4294	4294	4294	4262	4262	4256	4187	4187	4187	4121	4032	4032	4032	4032	4032	3974	3974	3974	3929	3929	3929	3929	3929	3929	3927	3927	3927	3896
4585	4585	4585	4585	4585	4585	4585	4444	4366	4366	4366	4294	4294	4276	4220	4220	4220	4220	4220	4220	4220	4220	4220	4220	4220	4220	4220	4205	4170	4170	4170	4170	4120	4120	4060	3959	3959	3959	3959	3959	3892	3892	3745	3745	3745	3745	3745	3745	3745	3745	3745
