step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
265	212	196	196	196	196	196	196	196	196	196	196	196	196	187	187	187	187	187	187	149	149	149	149	149	149	149	149	149	149	147	147	147	147	147	129	129	129	129	91	91	91	91	82	82	82	82	82	80	80	71
338	338	338	338	338	338	274	274	274	274	274	274	274	178	178	178	178	169	166	166	166	127	127	127	127	85	85	85	85	78	78	78	78	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72
214	214	214	214	214	211	211	211	170	134	134	134	134	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120
204	204	204	204	204	204	204	143	143	141	141	141	141	141	141	141	141	141	97	97	97	97	97	97	97	97	97	97	97	97	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87
292	292	292	292	287	214	214	214	214	211	211	211	211	211	211	211	211	211	211	211	211	211	211	159	159	158	156	156	156	156	156	156	156	156	119	119	119	119	119	119	119	119	117	117	117	117	110	110	110	97	97
