step0	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	step21	step22	step23	step24	step25	step26	step27	step28	step29	step30	step31	step32	step33	step34	step35	step36	step37	step38	step39	step40	step41	step42	step43	step44	step45	step46	step47	step48	step49	step50	
4620	4187	3846	3533	3210	2928	2703	2533	2415	2315	2226	2166	2056	2004	1970	1937	1904	1858	1836	1783	1764	1739	1726	1713	1702	1693	1676	1650	1650	1650	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630
4670	4276	3905	3599	3367	3141	2909	2734	2583	2434	2335	2206	2119	2065	1976	1907	1856	1820	1760	1742	1726	1690	1677	1675	1674	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670	1670
5069	4600	4154	3860	3548	3269	2993	2736	2542	2383	2282	2179	2083	1990	1898	1841	1813	1788	1774	1763	1694	1686	1669	1643	1643	1643	1643	1643	1622	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615	1615
4294	3924	3621	3338	3089	2859	2720	2590	2486	2391	2301	2173	2092	1980	1906	1854	1819	1788	1757	1731	1705	1679	1666	1654	1654	1654	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1638	1631	1631	1631	1631	1631	1631	1631	1631	1631	1631
4464	3940	3493	3181	2956	2737	2562	2414	2285	2205	2123	2053	1985	1921	1859	1819	1787	1756	1723	1710	1697	1685	1678	1678	1678	1642	1642	1642	1642	1642	1641	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634	1634
